team,score,date
Kimi_K_2_6,0.5721345752335479,2026-05-18 15:28
LLM_Claude_Opus_47,0.571604458468468,2026-05-16 19:52
faranbutt,0.5651767356010962,2026-04-15 13:05
Bijay,0.5582487835408811,2026-04-03 19:20
gururgg,0.555962873604691,2026-04-03 13:14
claude_opus46,0.5422168243935763,2026-05-17 11:09
predictionns,0.5355271210997747,2026-03-19 15:56
Mubaraq,0.5161036642293718,2026-04-01 19:27
murad,0.5025837070150506,2026-03-21 13:29
Ignatius,0.4985244070276047,2026-03-28 17:38
el_Ikram,0.49762234602079836,2026-04-06 22:51
llm_gpt5_4_codex,0.48589787763813264,2026-05-17 10:33
Peguy_v2,0.47994555871952493,2026-04-05 04:12
llm_gemini-3-flash,0.47879582545360416,2026-05-16 20:16
MahaTeam,0.4686742086213822,2026-04-16 11:19
submissions,0.44562457144668655,2026-04-04 23:30
RPYpredictions,0.4392028482665921,2026-04-15 02:45
hadil,0.43566741870573455,2026-03-24 22:11
DeepSeek-v4-pro,0.4309252110012639,2026-05-17 16:52
LLM_Gemini_25_Pro,0.35969246716192355,2026-05-18 12:53
Tasneem,0.3543349369295517,2026-04-01 00:24
Llm_Codex,0.14292047469649433,2026-05-08 23:50
